y,u-velocity
0.0,0.0
0.052631578947368418,0.23258083007474512
0.10526315789473684,-0.28704067111173798
0.15789473684210525,-0.63180126806513837
0.21052631578947367,-0.35914996161130824
0.26315789473684209,-0.070804049110210043
0.31578947368421051,0.12584592556496843
0.36842105263157893,0.05899730663619053
0.42105263157894735,-0.18500199433448442
0.47368421052631576,-0.26897226635603894
0.52631578947368418,-0.14457039093450216
0.57894736842105254,-0.026014546795385021
0.63157894736842102,0.042399369851266848
0.68421052631578949,-0.059435821375258636
0.73684210526315785,-0.24703462382688132
0.78947368421052633,-0.28774080661544449
0.84210526315789469,-0.092587380904916777
0.89473684210526316,0.21792138913459219
0.94736842105263153,0.54834842844332954
1.0,1.0
